author,title,discovery,link,id_system,id_ref
Weymann et al. 1979 [ApJL233(1979)L43],"Multiple-mirror telescope observations of the twin QSOs 0957+561 A, B",Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=151&,148,293
Inada et al. 2012 [AstronJ143(2012)119],The Sloan Digital Sky Survey Quasar Lens Search. V. Final Catalog from the Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=295&,149,294
Chen et al. 2012 [ApJ755(2012)24],X-Ray Monitoring of Gravitational Lenses with Chandra,,http://admin.masterlens.org/citation.php?referenceID=4293&,149,295
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&,149,296
Jackson 2011 [ApJL739(2011)L28],The Faintest Radio Source Yet: Expanded Very Large Array Observations of the Gravitational Lens SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=616&,149,297
Fassnacht et al. 2011 [MNRAS410(2011)2167],Galaxy number counts and implications for strong lensing,,http://admin.masterlens.org/citation.php?referenceID=582&,149,298
Oguri 2010 [PASJ62(2010)1017],The Mass Distribution of SDSS J1004+4112 Revisited,,http://admin.masterlens.org/citation.php?referenceID=983&,149,299
Liesenborgs et al. 2009 [MNRAS397(2009)341],Non-parametric strong lens inversion of SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=985&,149,300
Mediavilla et al. 2009 [ApJ706(2009)1451],Microlensing-based Estimate of the Mass Fraction in Compact Objects in Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=764&,149,301
Inada et al. 2008 [PASJ60(2008)L27],Spectroscopic Confirmation of the Fifth Image of SDSS J1004+4112 and Implications for the M_BH--σ_* Relation at z = 0.68,,http://admin.masterlens.org/citation.php?referenceID=2606&,149,302
Oguri et al. 2008 [ApJL676(2008)L1],The Third Image of the Large-Separation Lensed Quasar SDSS J1029+2623,,http://admin.masterlens.org/citation.php?referenceID=63&,149,303
Ostman et al. 2008 [A&A485(2008)403],Extinction properties of lensing galaxies,,http://admin.masterlens.org/citation.php?referenceID=456&,149,304
Inada et al. 2008 [AstronJ135(2008)496],The Sloan Digital Sky Survey Quasar Lens Search. II. Statistical Lens Sample from the Third Data Release,,http://admin.masterlens.org/citation.php?referenceID=64&,149,305
Fohlmeister et al. 2008 [ApJ676(2008)761],The Rewards of Patience: An 822 Day Time Delay in the Gravitational Lens SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=2670&,149,306
Fohlmeister et al. 2007 [ApJ662(2007)62],A Time Delay for the Cluster-Lensed Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=2673&,149,307
Saha et al. 2006 [ApJL652(2006)L5],Two Strong-Lensing Clusters Confront Universal Dark Matter Profiles,,http://admin.masterlens.org/citation.php?referenceID=2892&,149,308
G'omez-'Alvarez et al. 2006 [ApJL645(2006)L5],Recurrence of the Blue Wing Enhancements in the High-Ionization Lines of SDSS 1004+4112A,,http://admin.masterlens.org/citation.php?referenceID=2895&,149,309
Lamer et al. 2006 [A&A454(2006)493],Strange magnification pattern in the large separation lens SDSS J1004+4112 from optical to X-rays,,http://admin.masterlens.org/citation.php?referenceID=2894&,149,310
Ota et al. 2006 [ApJ647(2006)215],Chandra  Observations of SDSS J1004+4112: Constraints on the Lensing Cluster and  Anomalous X-Ray Flux Ratios of the Quadruply Imaged Quasar,,http://admin.masterlens.org/citation.php?referenceID=2893&,149,311
Inada et al. 2005 [PASJ57(2005)L7],Discovery of a Fifth Image of the Large Separation Gravitationally Lensed Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=62&,149,312
Sharon et al. 2005 [ApJL629(2005)L73],Discovery of Multiply Imaged Galaxies behind the Cluster and Lensed Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=2898&,149,313
Williams et al. 2004 [AstronJ128(2004)2631],Models of the Giant Quadruple Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=806&,149,314
Richards et al. 2004 [ApJ610(2004)679],Microlensing of the Broad Emission Line Region in the Quadruple Lens SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=1506&,149,315
Oguri et al. 2004 [ApJ605(2004)78],Observations and Theoretical Implications of the Large-Separation Lensed Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=61&,149,316
Inada et al. 2003 [Nat426(2003)810],A gravitationally lensed quasar with quadruple images separated by 14.62arcseconds,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=65&,149,317
