system_name,discovery_date,ra_hrs,ra_mins,ra_secs,ra_coord,dec_degrees,dec_arcmin,dec_arcsec,dec_coord,lensgrade,number_images,theta_e,theta_e_err,z_lens,z_lens_err,z_source,z_source_err,vdisp,vdisp_err
SDSSJ1334+3315,2011-09-01,13,34,01.39,203.50582173,+33,15,34.3,33.25953773,A,2,0.40,NaN,0.557,NaN,2.4178,0.0002,NaN,NaN
PKS1830-211,1988-03-01,18,33,39,278.4125,-21,03,39.000,-21.06083,A,2,2.13,0.01,0.89,0.01,2.51,0.01,NaN,NaN
SDSSJ1349+1227,2010-04-01,13,49,29.84,207.37435334,+12,27,06.8,+12.45191285,A,2,1.399,NaN,NaN,NaN,1.722,0.002,NaN,NaN
B2108+213,2005-01-01,21,10,54,317.725,+21,31,00.7,+21.51686,A,2,2.28,0.01,0.3648,0.0001,NaN,NaN,325,25
B0128+437,2000-12-01,01,31,13,22.80417,+43,58,13.14,+43.97032,A,4,1.3,0.3,NaN,NaN,3.124,0.0042,NaN,NaN
SDSSJ0924+0219,2003-08-01,09,24,55.87,141.232487,+02,19,24.9,+2.323611,A,4,0.87,NaN,0.394,0.001,1.524,0.001,NaN,NaN
HS0818+1227,2011-09-01,08,21,39,125.4125,+12,17,29,+12.29139,A,2,3.07,0.01,0.39,0.01,3.1144,0.0001,NaN,NaN
ULASJ2343-0050,2008-06-01,23,43,11.93,355.79974989,-00,50,34.3,-0.84287291,A,2,0.58,NaN,0.3,NaN,0.788,0.001,NaN,NaN
SDSSJ1515+1511,2012-05-01,15,15,38.59,228.91080753,+15,11,35.8,15.19330263,A,0,0.98,NaN,0.742,NaN,2.054,0.002,NaN,NaN
Q0047-2808,1996-01-01,00,49,41.96,12.4247466667,-27,52,25.000,-27.874019722,A,4,1.34,0.01,0.485,NaN,3.595,NaN,219,12
BRI0952-0115,2000-06-01,09,55,00,148.75,-01,30,05.000,-1.50139,A,2,2.23,0.01,0.632,0.001,4.50,0.01,NaN,NaN
B2114+022,2001-09-01,21,16,50,319.20833,+02,25,46.9,+2.42969,B,4,NaN,NaN,0.3157,0.001,NaN,NaN,110,NaN
SDSSJ1650+4251,2003-11-01,16,50,43.44,252.6810019,+42,51,49.3,42.8637137,A,2,0.665,NaN,0.577,NaN,1.547,0.004,NaN,NaN
LBQS1009-0252,1993-06-01,10,12,15.72,153.0655,-03,07,02.000,-3.11722,A,2,2.16,0.01,0.87,0.01,1.6229,0.0005,NaN,NaN
SDSSJ1400+3134,2009-05-01,14,00,12.77,210.05322186,+31,34,54.1,+31.58170141,A,2,0.79,NaN,NaN,NaN,3.317,0.001,NaN,NaN
B1152+200,1999-06-01,11,55,18,178.825,+19,39,42.2,+19.66172,A,2,1.59,0.01,0.439,0.001,1.019,0.001,NaN,NaN
QJ0158-4325,1999-10-01,01,58,41.43,29.6726246,-43,25,3.5,-43.4176407,A,2,0.66,0.01,0.317,0.001,1.294,0.008,NaN,NaN
HE0047-1756,2004-05-01,00,50,27.72,12.6155,-17,40,08,-17.66889,A,2,0.751,0.002,0.407,0.001,1.67,0.01,NaN,NaN
SDSSJ1251+2935,2007-10-01,12,51,07.57,192.78156013,+29,35,40.5,+29.59458506,A,4,0.88,NaN,0.410,NaN,0.80213,0.00008,NaN,NaN
PG1115+080,1980-06-01,11,18,17,169.57083,+07,45,57.7,+7.76603,A,4,3.62,0.01,0.31,0.01,1.72,0.01,281,25
SDSSJ1304+2001,2010-04-01,13,04,43.58,196.18160996,+20,01,04.2,+20.0178397,A,2,0.987,NaN,0.373,NaN,2.175,0.002,NaN,NaN
B2045+265,1999-02-01,20,47,20,311.83333,+26,44,01.2,+26.73367,A,4,0.95,0.05,0.8673,0.0001,1.28,0.01,NaN,NaN
ULASJ0820+0812,2009-09-01,08,20,16.11,125.06712988,+08,12,15.9,8.20443831,A,2,1.15,0.01,0.803,0.001,2.0226,0.0003,NaN,NaN
SDSSJ0903+5028,2003-11-01,09,03,34.94,135.89561203,+50,28,19.3,+50.47204106,A,2,1.42,0.03,0.388,NaN,3.605,NaN,NaN,NaN
HS0810+2554,2002-01-01,08,13,31.25,123.3802,+25,45,3.24,+25.7509,A,4,1.97,0.01,0.89,0.01,1.50987,0.00010,NaN,NaN
SDSSJ1524+4409,2008-02-01,15,24,45.62,231.19009714,+44,09,49.5,+44.16376024,A,2,0.79,NaN,0.320,NaN,1.210,0.001,NaN,NaN
PSS2322+1944,2002-05-01,23,22,07,350.52917,+19,44,22.99,19.73972,B,2,1.81,0.01,1.23,0.01,4.1199,0.0001,NaN,NaN
B0850+054,2003-02-01,08,52,53.83,133.224274447,+05,15,11.9,5.2533055548,A,2,1.6,0.1,0.5883,0.0006,1.143,0.002,NaN,NaN
B1938+666,1996-02-01,19,38,25.35,294.60563,+66,48,52.7,+66.81464,A,6,0.475,NaN,0.881,NaN,2.059,NaN,NaN,NaN
